# IAZAHLN,IAZAHLF,AT0(3),FCOR(3),FCOR1(far),FCOR2(near), fcor2_1,fcor2_2
#  2160   61  1.00  1.00  1.00    1.39   1.41   1.39   1.64  0.842   1.00  1.00
# Table for near sidelobes (IAZAHLN rows)
# AP1,AP2,AT1,AT2 cell edges (phi_low, phi_high, radius_low, radius_high)
# also used to calculate solid angle
# Factor (only one column is used!): "Gain"
# AP1,AP2,AT1,AT2,AG //  IAZAHLN CARDS  FOR NEAR SIDELOBE REGION
  85.00  90.00   0.50   0.62    0.6297630620E+03    0.6297630620E+03
  90.00  95.00   0.50   0.62    0.6585944210E+03    0.6585944210E+03
  95.00 100.00   0.50   0.62    0.3487401430E+03    0.3487401430E+03
 100.00 105.00   0.50   0.62    0.1107635960E+03    0.1107635960E+03
 105.00 110.00   0.50   0.62    0.2972316550E+02    0.2972316550E+02
 110.00 115.00   0.50   0.62    0.2448137660E+02    0.2448137660E+02
 115.00 120.00   0.50   0.62    0.3123366550E+02    0.3123366550E+02
 120.00 125.00   0.50   0.62    0.2546053890E+02    0.2546053890E+02
 125.00 130.00   0.50   0.62    0.1109662250E+02    0.1109662250E+02
 130.00 135.00   0.50   0.62    0.3332223420E+01    0.3332223420E+01
 135.00 140.00   0.50   0.62    0.3036509510E+01    0.3036509510E+01
 140.00 145.00   0.50   0.62    0.1109662340E+02    0.1109662340E+02
 145.00 150.00   0.50   0.62    0.2546053890E+02    0.2546053890E+02
 150.00 155.00   0.50   0.62    0.3123366740E+02    0.3123366740E+02
 155.00 160.00   0.50   0.62    0.2448137660E+02    0.2448137660E+02
 160.00 165.00   0.50   0.62    0.2972316360E+02    0.2972316360E+02
 165.00 170.00   0.50   0.62    0.1107635800E+03    0.1107635800E+03
 170.00 175.00   0.50   0.62    0.3487400510E+03    0.3487400510E+03
 175.00 180.00   0.50   0.62    0.6297628780E+03    0.6297628780E+03
 180.00 185.00   0.50   0.62    0.6585941770E+03    0.6585941770E+03
 185.00 190.00   0.50   0.62    0.3487400510E+03    0.3487400510E+03
 190.00 195.00   0.50   0.62    0.1107635730E+03    0.1107635730E+03
 195.00 200.00   0.50   0.62    0.2972316170E+02    0.2972316170E+02
 200.00 205.00   0.50   0.62    0.2448137660E+02    0.2448137660E+02
 205.00 210.00   0.50   0.62    0.3123366550E+02    0.3123366550E+02
 210.00 215.00   0.50   0.62    0.2546053890E+02    0.2546053890E+02
 215.00 220.00   0.50   0.62    0.1109662250E+02    0.1109662250E+02
 220.00 225.00   0.50   0.62    0.3036509280E+01    0.3036509280E+01
 225.00 230.00   0.50   0.62    0.3332223420E+01    0.3332223420E+01
 230.00 235.00   0.50   0.62    0.1109662250E+02    0.1109662250E+02
 235.00 240.00   0.50   0.62    0.2546053890E+02    0.2546053890E+02
 240.00 245.00   0.50   0.62    0.3123366740E+02    0.3123366740E+02
 245.00 250.00   0.50   0.62    0.2448137470E+02    0.2448137470E+02
 250.00 255.00   0.50   0.62    0.2972316170E+02    0.2972316170E+02
 255.00 260.00   0.50   0.62    0.1107635730E+03    0.1107635730E+03
 260.00 265.00   0.50   0.62    0.3487400820E+03    0.3487400820E+03
 265.00 270.00   0.50   0.62    0.6585942380E+03    0.6585942380E+03
 270.00 275.00   0.50   0.62    0.6297629390E+03    0.6297629390E+03
 275.00 280.00   0.50   0.62    0.3487400820E+03    0.3487400820E+03
 280.00 285.00   0.50   0.62    0.1107635800E+03    0.1107635800E+03
 285.00 290.00   0.50   0.62    0.2972316360E+02    0.2972316360E+02
 290.00 295.00   0.50   0.62    0.2448137660E+02    0.2448137660E+02
 295.00 300.00   0.50   0.62    0.3123366930E+02    0.3123366930E+02
 300.00 305.00   0.50   0.62    0.2546053890E+02    0.2546053890E+02
 305.00 310.00   0.50   0.62    0.1109662250E+02    0.1109662250E+02
 310.00 315.00   0.50   0.62    0.3036509280E+01    0.3036509280E+01
 315.00 320.00   0.50   0.62    0.3332223420E+01    0.3332223420E+01
 320.00 325.00   0.50   0.62    0.1109662250E+02    0.1109662250E+02
 325.00 330.00   0.50   0.62    0.2546053890E+02    0.2546053890E+02
 330.00 335.00   0.50   0.62    0.3123366740E+02    0.3123366740E+02
 335.00 340.00   0.50   0.62    0.2448137660E+02    0.2448137660E+02
 340.00 345.00   0.50   0.62    0.2972316550E+02    0.2972316550E+02
 345.00 350.00   0.50   0.62    0.1107635960E+03    0.1107635960E+03
 350.00 355.00   0.50   0.62    0.3487401120E+03    0.3487401120E+03
